Time,Open,High,Low,Last,Change,%Chg,Volume
06/11/2021,55.77,56.08,55.31,55.38,-0.19,-0.34%,19045700
06/10/2021,56.39,56.65,54.98,55.57,-0.07,-0.13%,28676900
06/09/2021,56.15,56.39,55.61,55.64,-0.35,-0.63%,28026100
06/08/2021,55.32,56.09,54.66,55.99,0.48,+0.86%,28776500
06/07/2021,55.74,56.08,55.43,55.51,-0.24,-0.43%,20035100
06/04/2021,55.74,55.98,54.925,55.75,0.37,+0.67%,26329400
06/03/2021,55,55.69,54.65,55.38,0.15,+0.27%,29380800
06/02/2021,54.55,55.49,53.91,55.23,1.01,+1.86%,33946700
06/01/2021,53.24,54.3375,53.21,54.22,2.01,+3.85%,36285100
05/28/2021,52.4,52.47,51.93,52.21,0.1,+0.19%,18565400
05/27/2021,52.28,52.75,51.82,52.11,0.04,+0.08%,19526700
05/26/2021,51.66,52.255,51.42,52.07,0.46,+0.89%,19777200
05/25/2021,52.55,52.69,51.53,51.61,-1.07,-2.03%,24279200
05/24/2021,52.52,52.8,51.9319,52.68,0.52,+1.00%,24010100
05/21/2021,52.57,52.935,52.12,52.16,0.11,+0.21%,25269800
05/20/2021,52.11,52.29,51.31,52.05,-0.08,-0.15%,28261300
05/19/2021,52.21,52.72,51.4,52.13,-1.33,-2.49%,43984800
05/18/2021,54.65,54.845,53.36,53.46,-1.27,-2.32%,35217600
05/17/2021,53.3,54.75,53.22,54.73,1.24,+2.32%,33702000
05/14/2021,52.45,53.69,52.45,53.49,1.61,+3.10%,28591800
05/13/2021,51.89,52.85,51.18,51.88,-0.64,-1.22%,39849000
05/12/2021,52.54,54.07,52.28,52.52,0.25,+0.48%,41097700
05/11/2021,52.53,53.2821,51.81,52.27,-1.38,-2.57%,56765900
05/10/2021,54.3,55.14,53.61,53.65,0.02,+0.04%,34499000
05/07/2021,52.15,53.715,51.96,53.63,0.94,+1.78%,31598100
05/06/2021,52.41,52.69,51.435,52.69,0.27,+0.52%,29355200
05/05/2021,51.94,52.575,50.98,52.42,1.64,+3.23%,39810600
05/04/2021,50.85,51.23,50.2,50.78,0.03,+0.06%,26958700
05/03/2021,49.96,50.88,49.8,50.75,1.36,+2.75%,22870000
04/30/2021,49.95,50.64,49.28,49.39,-1.28,-2.53%,29259400
04/29/2021,50.83,51.2899,50.05,50.67,0.56,+1.12%,33021200
04/28/2021,48.8,50.3,48.76,50.11,1.67,+3.45%,32936900
04/27/2021,48.04,48.61,47.82,48.44,0.58,+1.21%,21134400
04/26/2021,47.36,48.22,47.36,47.86,0.32,+0.67%,17945800
04/23/2021,47.15,47.75,46.87,47.54,0.43,+0.91%,16952300
04/22/2021,47.9,47.9157,46.9501,47.11,-0.56,-1.17%,25031400
04/21/2021,46.47,47.84,46.25,47.67,0.6,+1.27%,28495500
04/20/2021,48.18,48.25,46.59,47.07,-1.28,-2.65%,36286900
04/19/2021,48.5,48.855,47.875,48.35,-0.05,-0.10%,20413900
04/16/2021,49.15,49.27,48.195,48.4,-0.39,-0.80%,28594500
04/15/2021,49.25,49.25,48.59,48.79,-0.4,-0.81%,24843100
04/14/2021,48.28,49.835,48.23,49.19,1.33,+2.78%,33383900
04/13/2021,47.73,48.12,47.38,47.86,0.05,+0.10%,22412600
04/12/2021,48.61,48.96,47.64,47.81,-0.38,-0.79%,19598100
04/09/2021,48.5,48.92,47.97,48.19,-0.32,-0.66%,22186700
04/08/2021,48.8,48.81,47.95,48.51,-0.64,-1.30%,31883300
04/07/2021,49,49.4,48.82,49.15,0.17,+0.35%,24944300
04/06/2021,49.35,50.005,48.9,48.98,-0.13,-0.26%,26628900
04/05/2021,50.21,50.22,48.82,49.11,-1.2,-2.39%,26686100
04/01/2021,49.28,50.33,49.02,50.31,1.25,+2.55%,32519700
03/31/2021,49.3,49.52,48.865,49.06,-0.34,-0.69%,24048600
03/30/2021,49.32,49.93,49.03,49.4,-0.43,-0.86%,26696100
03/29/2021,50,50.26,49.22,49.83,-0.6,-1.19%,23643000
03/26/2021,50.1,50.5,49.53,50.43,1.22,+2.48%,36174300
03/25/2021,48.21,49.35,47.43,49.21,0.18,+0.37%,40335100
03/24/2021,48.56,49.69,48.56,49.03,1.2,+2.51%,40815300
03/23/2021,47.56,48.9,47.26,47.83,-0.71,-1.46%,51598100
03/22/2021,48.9,49.085,48.44,48.54,-0.99,-2.00%,29780800
03/19/2021,49.5,50.35,48.86,49.53,0.01,+0.02%,40579200
03/18/2021,51.39,51.62,49.31,49.52,-2.33,-4.49%,43603500
03/17/2021,51.3,52.1,50.86,51.85,0.4,+0.78%,32276100
03/16/2021,52.08,52.13,51.13,51.45,-1.51,-2.85%,38643500
03/15/2021,53.45,53.6,52.32,52.96,-0.61,-1.14%,30245800
03/12/2021,53.56,54.0493,53.165,53.57,0.11,+0.21%,29893300
03/11/2021,53.55,54.365,53.34,53.46,0.02,+0.04%,25398600
03/10/2021,52.2,53.62,51.95,53.44,1.32,+2.53%,39208200
03/09/2021,52.75,53.5115,51.7475,52.12,-0.93,-1.75%,59444700
03/08/2021,53.47,53.75,52.28,53.05,0.1,+0.19%,50305000
03/05/2021,52.49,53.07,51.18,52.95,1.91,+3.74%,56197800
03/04/2021,50.3,51.96,49.83,51.04,1.19,+2.39%,53786900
03/03/2021,49.49,50.98,49.48,49.85,0.72,+1.47%,41287200
03/02/2021,49.58,49.98,49.1,49.13,-0.27,-0.55%,37234000
03/01/2021,49.42,50.08,49.06,49.4,1.25,+2.60%,34695700
02/26/2021,48.66,48.8,46.73,48.15,-1.17,-2.37%,45154400
02/25/2021,50.81,50.81,48.98,49.32,-0.97,-1.93%,37943900
02/24/2021,48.89,50.58,48.48,50.29,1.72,+3.54%,38874400
02/23/2021,48.35,48.71,46.51,48.57,0.79,+1.65%,49185400
02/22/2021,46.49,48.465,46.41,47.78,1.6,+3.46%,37822200
02/19/2021,45.48,46.36,45.425,46.18,0.76,+1.67%,27202000
02/18/2021,46.27,46.36,45.275,45.42,-1.05,-2.26%,30680000
02/17/2021,46.26,46.765,45.59,46.47,0.68,+1.49%,34535300
02/16/2021,45.7,46.32,45.465,45.79,1.12,+2.51%,38296700
02/12/2021,43.71,44.71,43.63,44.67,0.65,+1.48%,23700400
02/11/2021,44.57,44.58,43.085,44.02,-0.69,-1.54%,24816300
02/10/2021,44.02,44.75,43.74,44.71,0.84,+1.91%,29225400
02/09/2021,43.99,44.13,43.285,43.87,-0.47,-1.06%,32399300
02/08/2021,43.18,44.5481,43.14,44.34,1.78,+4.18%,31184100
02/05/2021,42.86,43,42.435,42.56,0.36,+0.85%,24098200
02/04/2021,42.05,42.21,41.305,42.2,0.46,+1.10%,24163800
02/03/2021,40.24,41.849,40.09,41.74,1.71,+4.27%,37192800
02/02/2021,40.55,40.99,40.025,40.03,0.43,+1.09%,31964500
02/01/2021,39.8,40,38.94,39.6,0.28,+0.71%,30510700
01/29/2021,40.1,40.62,39.175,39.32,-1.35,-3.32%,31534400
01/28/2021,40.53,41.16,40.16,40.67,0.47,+1.17%,28624000
01/27/2021,40.08,41.32,39.51,40.2,-0.55,-1.35%,49933600
01/26/2021,42.01,42.64,40.73,40.75,-0.89,-2.14%,27499800
01/25/2021,41.61,41.77,40.88,41.64,-0.43,-1.02%,40911600
01/22/2021,41.36,42.185,41.02,42.07,-0.22,-0.52%,25222300
01/21/2021,43.53,43.75,41.895,42.29,-1.48,-3.38%,29995000
01/20/2021,43.98,44.09,43.34,43.77,0.16,+0.37%,25362800
01/19/2021,43.27,43.91,43.13,43.61,0.86,+2.01%,27809700
01/15/2021,43.69,43.7,42.33,42.75,-1.73,-3.89%,47748500
01/14/2021,43.47,45,43.43,44.48,1.28,+2.96%,41657300
01/13/2021,43.69,43.71,42.87,43.2,-0.34,-0.78%,27382200
01/12/2021,42.58,43.77,42.26,43.54,1.47,+3.49%,43973600
01/11/2021,40.52,42.235,40.29,42.07,0.65,+1.57%,23451500
01/08/2021,42,42,41.09,41.42,-0.05,-0.12%,31371900
01/07/2021,41.23,41.89,40.8,41.47,0.6,+1.47%,25728500
01/06/2021,40.44,41.25,39.92,40.87,1.21,+3.05%,43131300
01/05/2021,38.37,40.7,38.335,39.66,1.7,+4.48%,47736700
01/04/2021,38.34,38.66,37.51,37.96,0.06,+0.16%,33858800
"Downloaded from Barchart.com as of 03-14-2022 03:23pm CDT"
